date_raw,sender_name,text
ek ago,Yoj ***********,Regards everyone. watching here from Tacloban.
ek ago,Jhun ***********,Shout out po watching from Rome Italy NARIAG
ek ago,Dhals ***********,"watching from Kuwait, sir gusto po namin na uuwi patulong naman po sir"
ek ago,Honey ***********,Good evening..watching from kuwait..
ek ago,Flordeliza ***********,Sir hope and pray for the Resque of Ofws Repatriation!
ek ago,Olive ***********,Shout out po from hk
ek ago,Maricel ***********,"Good day po Sir Arnel and to all staff.Ask ko lg po Sana paano malamang or kelan po pdi malaman Ang result ng application for ODSP.Maraming salamat po,Godbless"
ek ago,Cor's ***********,watching frm hongkong po
ek ago,Thess ***********,"Good noon po watching from dubai,,paano makakuha ng cash assistance 15 yrs napo akong owf"
ek ago,Stephy ***********,thank you very very much po.GOD BLESS YOU ALL PO.
ek ago,Ibing ***********,Good evening po
ek ago,Mamayie ***********,Salamat po HK owwa and region 6 sa mabilis na action/releading sa hospitalization ko (welfare assistance program) malaking tulong din sa family ko sa pinas 15k piso.
ek ago,Dith ***********,Shout out ma'am and sir watching from Saudi arabia
ek ago,Mars ***********,I'm watching from bahrain po
ek ago,Ricthel ***********,Ako sir gusto ko bahay po paano aplay
ek ago,Noura ***********,Watching from Lebanon po sir ignasio and good evening po s inyo jn s pinas
ek ago,Gemma ***********,Watching from singapore
ek ago,Jieann ***********,ao po ang mga dapat na asikasuhin njg isang OFW kung huuwi ng Pinas
ek ago,Lorena ***********,Im watching in TAIF sir
ek ago,Rosemerlyn ***********,Watching from UAE
ek ago,Lovelyndc ***********,sir ask lang din po paano po maka avail ng scholarships po my tatlo po akong anak 2nd year college at grade 11 at grade 9 po.. ofw Qatar po ako.. salamat po ulet god bless
ek ago,Maricel ***********,Watching po from qatar
ek ago,Cris ***********,Watching from kuwait
ek ago,Sinense ***********,Watching now from kuwait..
ek ago,Lany ***********,Watching from dubai
ek ago,Anie ***********,Sir un dole akap ko po last year pa ako na approve until now wla pa po
ek ago,Cristy ***********,I'm watching .from Saudi
ek ago,Maricel ***********,good evening po
ek ago,Grace ***********,Good afternoon Ma'am and sir. I'm watching from Riyadh Saudi Arabia
ek ago,Aduanalisa ***********,Good afternoon po makakapg avail po ba ako ng negosyo package cash assistance para sa rtw ko para sa rtw ko po pandagdag puhunan
ek ago,Analiza ***********,Good evening poh wacthing from Malaysia
ek ago,Love ***********,Good evening po sa lahat watching from Qatar God bless you all
ek ago,Joseline ***********,Hello po..DH po from Saudi
ek ago,Demanguz ***********,Watching from amman jordan
ek ago,Melinda ***********,Watching from HK. Mga sir please pansinin nio nman po ang aking hinaing SalaMuch po
ek ago,Christina ***********,Sor pwdi pa bha mka loan sa owwa kung hindi babalik
ek ago,Happy ***********,watching her form qatar
ek ago,Cristito ***********,Hello po paano po kmi mkahingi ng assistance sa kagaya nming ofw na mtagal ng nghulog sa owwa na halos ilang taon kming nghuhulog sa owwa po
ek ago,Novelyn ***********,Sir paano po mai register ang anak ko gusto kopo sila mag join
ek ago,NayMj ***********,"Good evening Po s Lahat Sir,,watching from Singapore"
ek ago,Carol ***********,4yrs na po ako dto sir pero nd ko alam kong narenew ng employer ko ang contract ko kc nd nila bigay c akin laht n dikiminto ko lhat po c kanila
ek ago,Mjt ***********,Sir dito na ako sa sg goverment proses nman poh ako bkit in active parin owwa ko
ek ago,Viray ***********,Watching from Hongkong
ek ago,Enjaz ***********,Good evening sir watching from Riyadh
ek ago,Rea ***********,Sir pano po kung extend nlng po ako pero gusto ko marenew ang owwa ko kc tapos n kontrata ko means expired nrin po owwa ko gusto ko po mg active member parin ako
ek ago,Richard ***********,Watching from abudhabi city UAE
ek ago,Fatima ***********,Hello po watching po from quezon city
ek ago,Ruth ***********,Ma'am anong kailangan para maka kuha yong anak ko sa scholarship eh expire napo owwa ko Po dito po ko sa Kuwait
ek ago,Lourdes ***********,"Watching from Hongkong ,God Bless po,Thank You.Owwa"
ek ago,Junita ***********,Hello po watching from dubai
ek ago,Khing ***********,Good evening everyone...panu poh mag apply pra maipasok ko poh anak ko scholarship sa owwa second year collage nursing poh anak ko..
ek ago,Pauline ***********,Watching from kuwait
ek ago,Marivic ***********,Have a great day everyone im watching from Taiwan
ek ago,Nessa ***********,Watching from Kuwait Po.have a nice day po.. godbless too all po
ek ago,Ricthel ***********,Qatar po ako paano po aplay bahay po gusto ko sir ma'am
ek ago,Kat ***********,Hi mga sir and maam ask ko lng po pra saan po ang ofw e-card...Magagamit po b nming mga ofw yan as valid id or khit saan n pwede nming mapakinabangan kng sakali po n kumuha kmi ng ofw e- card n yan
ek ago,Marivic ***********,Good afternoon po ma'am & sir watching from Saudi Riyadh
ek ago,Marenesa ***********,Watching Riyadh city
ek ago,Einel ***********,"Watching from dammam saudi po, good evening"
ek ago,Helstin ***********,Hello Po sir Arnel Ignacio God bless po watching from kuwait
ek ago,Del ***********,Good evening po sir arnell egnacio at sa mga staff sa owwa
ek ago,Siblings ***********,Watching from turkey po good evening
ek ago,Saroh ***********,Good day po to everyone paanu po makapasok sa scholarship sir maam thank you po God bless
ek ago,Judy ***********,Paano po mka avail ng scholarship sir watching from Hong-Kong
ek ago,Analyn ***********,Hello po watching from Riyadh
ek ago,Cauilan ***********,Morning po watching from London
ek ago,Romalyn ***********,Good evening po sir..subra po kming naapektuhan nga bagyung florita sa baggao cagayan..ano po ang pwede namin maavail n tulung ng owwa bilang isang ofw po?
ek ago,Milagros ***********,Watching from Doha Qatar sir
ek ago,Dormelita ***********,"Shoutout po ,thanks po sir arnell"
ek ago,Refinnej ***********,"Ma'am sir sana nmna Po matulugan nyo Po ung kuya qna nsa Saudi,hirap n hirap n Po sya dun,wla n Po sya trabaho,11yrs n Po syang TNT,sana Po matulugan nyo Po sya"
ek ago,Sheanico ***********,Watching po fr.dubai
ek ago,Chloe ***********,Gudeve Po from Kuwait po
ek ago,Gielex ***********,Sir Gudeve po aq distress kakauwe q LNG po Ng July 25
ek ago,Dee ***********,Sir Arnel Ignacio .need help po pra mka uwi ng pinas dto po aq saudi
ek ago,Greg ***********,Ganda gabi mga sir watching from philippines
ek ago,Leslie ***********,Gd eve for Abu Dhabi
ek ago,Baby ***********,Hello po dko po alam kong member pko ng owwa 11 years n po ako dto wla po ako day off kya dko n renew owwa ko paano ko po b mlaman kong member p ako
ek ago,Noura ***********,"Hello po, pauwe po ako ng Dec, anu po ang requirements, meron po ako ng booster, kelangan po ba ng pcr at onehealt pa's po"
ek ago,Villegas ***********,Good day! Po everyone God Bless po
ek ago,لوريلي ***********,Good evening po! Watching from kuwait ang hina po ng boses tas blurd po
ek ago,Calo ***********,Hello mga sir kailangan ko po ng tulong ninyo my contact number ******* sahod at passport HND binigay ng employer ko po mga sir
ek ago,Rizza ***********,Watching po from kuwait..
ek ago,Elma ***********,Watching from kuwait
ek ago,Lynrima ***********,Watching from kuwait
ek ago,Itchie ***********,"Watching from Turkey
sir and madam godbless poh"
ek ago,Loida ***********,Hello how to avail scholarship from owwa I'm in dubai now thank u and God bless
ek ago,Ems ***********,Watching po from buraydah saudi arabia
ek ago,Refinnej ***********,"Sana Po sir arnel Ignacio, matulugan nyo Po ung kuya q,11 yrs n Po sya dun hnd makauwi ng pinas,wla n Po sya trabaho s kalye n Po sya natutulog"
ek ago,Vivian ***********,Watching from Riyadh
ek ago,Che ***********,"Watching from Saudi Riyadh, blessed u all"
ek ago,Aljun ***********,Gud evening po.mga mam and sir.watching Po dto Po kmi s accomodation Ng agency nmin.
ek ago,Rodilyn ***********,Hello sir goodevning wtching from Saudi arabia
ek ago,Janet ***********,hello po. ano needs na requirements. my Sakit hipag kona dto sa Dubai. humihingi po kmi tulong about financial assistance. nsa hospital sya how many days from now
ek ago,Ylrehs ***********,Watching from Oman sir laki tulong po kayo Yung live nio sa mga ofw naghihirap sa ibang bansa
ek ago,Tacaisan ***********,"Good evening maam,sir.Watching from hongkong."
ek ago,Hazel ***********,Good evening po mga sir at ma'am
ek ago,Alma ***********,Sir pahelp po aq.un passport ko po ayaw ibgay mgbbyad dw aq ng 10k dirhams dto po aq uae.
ek ago,Gremar ***********,Good evening poh Ma'am/Sir..God bless watching fr Hk
ek ago,Maricar ***********,good evening sir and mada why po ala pa po ako narecieve na to long from owwa.... when I am a terminated and lose job... now I am in the Philippines... pero ala po ako narecieve
ek ago,Anthea ***********,Good evening po sir
ek ago,Marianel ***********,"Heĺlo sir arnel watching here in Riyadh
God bless po"
ek ago,Nday ***********,pa help po sir mam 4yrs 4months na po ako d2 saudi paano mag bayad ng owwa pwde ba pamilya ko sa pinas mag bayad plz ans. me tnx
ek ago,Ronelyn ***********,shout out watching from saudi
ek ago,Maj ***********,Nag file po Ako Ng kaso kapwa din pilipino sumuntok po sa akin Sana po matulungan nyo ako
ek ago,Charmz ***********,"watching from turkey,good evening po"
ek ago,Yen ***********,ma'am and sir mg 7 years narin po aq ofw.. ngyun po dto aq sa kuwait now
ek ago,Roselle ***********,watching po From Riyadh From Roselle Yamelo po
ek ago,Josiefa ***********,Watching from hongkong
4 days ago,Jubelyn ***********,Good morning Sri arnel from Riyadh Saudi jubelyn Saet
ek ago,Elnas ***********,Watching from kaoshiung. Good day po sa I yong lahat
ek ago,Veronica ***********,SIR PANO PO KUNG SA CP KALANG NG OWWA APPS NAG RENEW PWEDE PO BA YUN
ek ago,Rianne ***********,"Sir arnel Sana po tulungan nyo po kami,11 months napo Hindi namin makuntak sister ko. Sobrang nag aalala napo kami.please help po"
ek ago,Grecia ***********,"Hello good evening and good afternoon here KSA RIYADH king Saud university,,"
ek ago,Muncada ***********,Hello evening too ser watching from oman muscat
ek ago,Fatima ***********,"Gudam sir,mam may concern po aq about sa mga kagaya ko na dating ofw nkauwi ln po aq last Yr Sept,and until now di pa nkkaalis,ni di po aq nkapunta ng owwa para po mkahingi ng kahit konting tulong"
ek ago,Anjie ***********,Mrning po s lhat watching from jeddah saudi arabia
ek ago,Ivana ***********,Hi po Sir and ma'am good afternoon watching from Riyadh Saudi Arabia
ek ago,Felmer ***********,Good afternon watching from taif jeddah
ek ago,Emma ***********,Hi sir Arnel gusto ko sana iupdate Ang aking member ship s owwa kso lang po bgo employer ko ayaw po ako bigyan ko requirements Ng Wala daw letter head Ang embassy pls sir p reply po from bahrain
ek ago,Marryann-aure ***********,"good evening po pa follow up naman po ako ng money claim ko dami kuna pong mensahe sa email nyo salamat po april 25,2022 papo ako nagpunta sa owwa pampangga hanggang wala padin responce salamat po"
ek ago,Babyqoh ***********,Watching po from cavite
ek ago,Ho ***********,bkit pag mga assistance ng gobyerno pahirapan ang pag kuwa dami daming mga requirements.. watching from hongkong
ek ago,Marife ***********,Good afternoon to all watch
ek ago,Enna ***********,Aq po 6 yrs napoh d2 sa kiwait laht po ng papers q dp nrenew gusto qn po umuwe
ek ago,Esor ***********,Good evening everyone god bless
ek ago,Siblings ***********,Godbless you po
ek ago,Missy ***********,Good Evening po to all OWWA staff
ek ago,Nald ***********,Hello po pwd m mag complain
ek ago,Junita ***********,Tanong ko lang po about sa Phil health not covered ba ang nga ofw pag nagka covid admitted with pneumonia na rejected pa ako para lang daw sa pinas d kasali ang ofw for refund
ek ago,Leonivel ***********,Good evening po s inyong lahat. . Watching from butuan city
ek ago,Jocelyn ***********,Hi mga sir kumusta po kayo God bless you always watching from Kuwait
ek ago,Princess ***********,Hi sir watching from dubai how to register in OWWA sir because I cannot go outside
ek ago,Melony ***********,Hi po mga sir at ma'am..I'm always watching from Riyadh saudi arabia..
ek ago,Ranjemma ***********,Good day poh Whatching from OFW Abu Dhabi
ek ago,Sayde ***********,Watching from ryadh saudi arabia
ek ago,Virginia ***********,"Hi po watching from riyad,, God bless us"
ek ago,Gina ***********,Active nga qko pabalik balikin nyo lang kami
ek ago,Jean ***********,Good evening po sa inyo! Loud and clear audio sir Jay... Regards from CARAGA
ek ago,مارفن ***********,Allowed na po ba mag walk in sa polo dubai para verification may confirmed tiicket na po sa october pauwe..
ek ago,Mg ***********,Hello po sir ofw po aq gusto kpo matulungn aking mga mgulang kht s gmot po meron po cl 2 diabetes pwd po ky aq mg avail s medical assistant
ek ago,Lanz ***********,Paano po ba malaman na member ako ng owwa sir. Di ko alam paano pamember
ek ago,Carol ***********,Watching from riyadh...
ek ago,Maricris ***********,Good afternoon po Abudhabi
ek ago,Lorie ***********,Helow po.watching from dammam
ek ago,Del ***********,Sir Arnel Sana Po Mapansin niyo po Yung Message complaint kopo sa Kabayan Helpline niyo po maraming salamat po!
ek ago,Vivian ***********,Sir tanong ko lang kung sakali ba na babalik ka sa dati mo employer ano poh ba ang kaylangan mgrenew poh ba ako ulit ng another kontrata sir salmat sana my sasagot poh god bless mnga sir?
ek ago,Ryco ***********,"Sana maka avail po yong anak ko ng Schallarship program Sir,at help po sa colleges asistance po Sir."
ek ago,Vergie ***********,Good pm po
ek ago,Maricel ***********,Watching from Jeddah K.S.A..GOD BLESS PO
ek ago,Joan ***********,Sir ask po sna ako panu mag apply ng repat.
ek ago,Mildred ***********,Good evening po
ek ago,Balagtas ***********,Watching po from doha qatar thank sir arnel.
ek ago,Lanie ***********,Good evening everyone
ek ago,Gielex ***********,Nag apply po aq Ng relief assistance for terminate Ng AMO q.kya LNG wala po aqng termination letter
ek ago,Werlen ***********,This is very helpful mga sir
ek ago,K-perz ***********,Sir paano po makakuha ng kunting tulong po ng owwa pa exit na po ako 15 years kng OFW sa saudi wlpo akng ipon
ek ago,Jhenzkie ***********,Good evening watching here in ksa
ek ago,Aida ***********,Sir arnel good evening po ask ko Lang po puede po ba Ako mag renew ng owwa kahit po di ako mag renew ng contrata Saudi Arabia po Salamat po
ek ago,Roxane ***********,Good evening po
ek ago,Zarahirose ***********,Watching from Riyadh Saudi Arabia KSA
ek ago,Cristel ***********,Paano po Kung aq ang nagbadayad ng owwa q hnd ang agency kc active p ang Owwa q
ek ago,Danilo ***********,Ang kailangan ko eh angfinancial assitance at medical assitancesobrang tagalko n pong naghihintang tulong mula sa owwa. Nagkasakit po sko sa saudi at napauei po
ek ago,Crystal ***********,Sana mapansin nman po kmi dto sa Bansang Hongkong ukol po sa covid cash assistance bakit po klangan pa po ng maraming requirement na hinahanap kung may SMs nman po na galing sa Hk Goverment
ek ago,Elizabeth ***********,Hello po gud pm po watching from Qatar po
ek ago,John ***********,"Sir gd day po ,watching ksa"
ek ago,Daisy ***********,Hi po sir maam watching from kuwait
ek ago,Daisy ***********,Hello po.. tanong ko lng po sana. Ung about po sa dole akap. Na mkukuha ng mga ofw na napauwi nong pandemic. Mahigit isang taon na po akong aprob. Hangang ngaun po wla parin. Region 3 po ako
ek ago,Bhing ***********,Watching from Riyadh
ek ago,Dorothy ***********,Good day po Sir Arnel and team.. nakauwi n po ang husband ko..
ek ago,Regine ***********,Watching from Kuwait sir.
ek ago,Aileen ***********,Hello po sir ma'am watching from jeddah
ek ago,Rhodora ***********,Good evening to all staff over there. Watching from jeddah Saudi Arabia
ek ago,Marites ***********,"Good evening po mga sir /maam ask ko lang po ano po ba mga kailangan pag mag apply ng tulong puso grant, may grupo po ako pero di pa po siya nakaregister po maraming salamat po"
ek ago,Mjt ***********,Mag 1yr plang poh ako dito sa SG Nitong oct..pero in active pero gling poh ako qatar 3 half year poh ako dun..now poh need ko mg byad?
ek ago,Annabell ***********,Hello po ma'am & mga sir watching from Qatar
ek ago,Jenskie ***********,"Good afternoon po, waching from dammam saudi arabia"
ek ago,Werlen ***********,Thank you po mga ma’am and sir
ek ago,Floretes ***********,"Hello good evening, Sir and ma'am I'm watching from Hongkong."
ek ago,Ummih ***********,Watching fom kingdom of bahrain
ek ago,Arlyne ***********,Good afternoon to all staff ng owwa
ek ago,Daina ***********,Good evening watching from Kuwait
ek ago,Joanicole ***********,Watching from fujairah united Arab Emirates
ek ago,Felie ***********,Hello sir dto ako Kuwait now dalawa p ako anak nag aara po single mom po ako from sultan kodarat sir paano Sali dto owwa po makatolong nman bpo sa akn sir thanks you God bless
ek ago,Nackie ***********,"Hello po sir ma'am good afternoon watching from Qatar
po"
ek ago,Salamuna ***********,"Good day sir/maam,ask po..bakit po hindi nasusunod ang 8hours duty dito sa saudi,ni 8hours na tulog po wala..may pamilya pa po kaming uuwian sa pinas.."
ek ago,Rovelyn ***********,I'm watching from macau
ek ago,Nday ***********,watching riyadh
ek ago,Angeline ***********,Shoutout po from Southern leyte
ek ago,Estrella ***********,For good nko nex mont sir
ek ago,Ytsirhc ***********,Hello po PAano po b mg aplly scholarship po ank ko aaply kopo sana single mothers po ako Kristine Ignacio dto po ako Qatar
ek ago,Monaliza ***********,Region 4A Batangas. Sir.ibgy n lng wag ipa abot ng mtgal.ktulad ko isang ofw distress umuwing wlng2.sana mtulungan nyo po aq need ng mga anak kong npasok.
ek ago,Jossie ***********,Good evening po...watching from riyadh po
ek ago,Sami ***********,"Good afternoon po, watching from Dubai. Uuwi na Ako January 2023 for good, may cash assistance po ba akong matanggap mula sa OWWA? Salamat po."
ek ago,Marialina ***********,Keep up your good works Sir Arnel.
ek ago,Markdharil ***********,Sana po mapansin nyo po aq sir kc until now meron parin Yung takot n iniwan nang amoq sken Sana po mapayuhan nyo aq Kung paanu pagbayaran mga amoq s ginawa sken my hawak po aqng doctor certification
ek ago,Akliah ***********,Watching from UAE
ek ago,Elizabeth ***********,Kmzta po paano po mkapag avail ung sinasabing puhunan ng mga mtatagal n ofw n wlang ipon po paano po mkakuha
ek ago,Annaliza ***********,Hi po.. I'm watching from alhazim qassim Riyadh
ek ago,Akoh ***********,Sana po maaksyoan ang problema nming 292 repatriated sungchang workers w/pending salary. Last nov. 2019 pa ang kaso
ek ago,Lenyeh ***********,Watching from oman muscat
ek ago,Mona ***********,Goodevening po from jeddah
ek ago,Josefina ***********,Watching from jaysan Saudi arabia
ek ago,Ritz ***********,Hello po good evening
ek ago,Edith ***********,Watching from Tokyo
ek ago,Ummih ***********,Ofw po sa taif dayingamo lwnag shod 1 year Nurhida Muhamad p0
ek ago,Ghin ***********,Idulog ko po ang pinsan ko na umuwi ng pinas.hihingi po sana health assistance
ek ago,Kala ***********,Hello Po ser/mam ask ko lng Po kung paano ma avail ang help ng government ng hk Yung sinasabi nilang tulong pag victim at nag positive ka Po ng covid Po maraming salAmat po
ek ago,Alicia ***********,Sir pwede pa po ba bayaran yung years na di ko nabayaran 12 years na po ako dto sa singapore 2 neses plang po ako nkauwi salamat po sa mkakasagot
ek ago,Bryan ***********,hello po sir arnel hingi po sana ko tulong about po sa wife ko na nakakulong sa UAE
ek ago,Vangie ***********,Good day po asked klng f pwed pba certificate of employment without authenticate NG polo extend po ksi ko Nov papo ako mgbbakasyon pra mka avail po Yong anak ko NG ODSP Scholarships
ek ago,Michelle ***********,Watching from Saudi Arabia riyadh...
ek ago,Nemalyn ***********,How Po maka avail Ang pamilya namin sa ofw hospital?San Po malapit binangonan Rizal
ek ago,Silda ***********,Good afternoon to all
ek ago,Bhebhe ***********,Greetings from Davao City
ek ago,Mhary ***********,Watching from Singapore
ek ago,Celestial ***********,hello po sir good eve po.ask ko lng po paano po mkapasok ang aking anak for schollarship po.2nd yr college po .ofw po ako d2 sa saudi jeddah po.sana po sir
ek ago,Bryan ***********,SIR ARNEL. PATULONG PO. YUNG WIFE KO PO NAKAKULONG PO SA UAE
ek ago,Marivic ***********,I'm watching from Dubai
5 days ago,Zenny ***********,sana man poh matulongang nmn kami na magkaroon ng wrk yong mga estreds ofw na ayw ng bumalik sa abroad sir tulong nyo nmn kami mg karoon ng wrk dito pinas
ek ago,Lorie ***********,Hello poh sa lahat jan sainyo..magandang gabi poh..God bless us all
ek ago,Mamayie ***********,"Ma'am/sir sana po puede ko ma apply for scholarship pamangkin ko, single here walang anak"
ek ago,Rosemary ***********,low po i watching Jeddah
ek ago,Remonsada ***********,Hello po watching from UAE
ek ago,Timmy ***********,Plzzz sir & maam help me dtu me sa riyadh hawak po ng mga amo ko passport ko xpired na matagal na
ek ago,Merian ***********,5x na po ako nagbabayad ng OWWA membership.ano po ang benipisyong makukuha ko po pag owi ko.Watching po fr. MALAYSIA
ek ago,Mila ***********,Roselle timbreza nsa Riyadh po need po tulong nsa Phil embassy na po gusto na po umuwe minaltraro NG amo at Hindi pinapasweldo
ek ago,Eimra ***********,Scholarship grant 2ndyr. College n anak q gang ngaun iisa lang ang Lague sinasabi puno n ang slot...mkktapos n anak q gang kelang kmi maghhntay
ek ago,Elvie ***********,Sir Arnel sana po mapansin po kami at matulungan na makuntak ung kapatid ko po na sa Riyadh mag 1month na po kasi kami wala contact sa kanya
ek ago,Cartagena ***********,"Hello po, watching here in Oman"
ek ago,Reynaldo ***********,Nag ask ako kung anu tulong maibibigay nila sakin dahil sa Covid at any tulong na assitance man lang pa kunswelo lang sa gobyerno kaso pinaasa ka lang pinagpasaspasahan kapa mas gastos lang ako
ek ago,Francis ***********,Gusto KO po Sana sumali djan sa dole kso lng po hindi po ako sinasali ng barangay nmin na mimirsonal po.dto po ako nakatira sa.barangay malaguit paracale camarenes norte
ek ago,Lorna ***********,Good evening EVERYONE
ek ago,Marie ***********,Good afternoon po
ek ago,Pasco ***********,Hi po whatching from saudi
ek ago,Rebecca ***********,Kng ok lng sa inyo mam sir to yng pangalan ko ofw sa kuwait single mam #******* nandto poh ngayon sa kuwait
ek ago,Lhenie ***********,THANK YOU SA OWWA MEMBER...FOR EVALUATION NA PO ANG ANAK KONG COLLEGE SANA PO MAAPPROVE NA PO SYA..THANKZ FROM JEDDAH
ek ago,Abas ***********,good morning po
ek ago,Markdharil ***********,Hi sir sna mapansin nyo aq kahit Dina nyo po aq bigyan nang financial assistance basta po gusto pagbayaran nang mga amoq ginawa sken sir
ek ago,Socs ***********,Good morning Po watching here in kuwait
ek ago,Domilen ***********,Watching from Tsuen Wan Hk
