,frequency
'december',58
'every',58
'prin',58
'ship',58
'consulate',58
'nagkasakit',57
'bng',57
'2018',57
'katulad',57
'kawawa',57
'hanap',56
'hinaing',56
'binibigay',56
'hihingi',56
'tao',56
'ofws',56
'malaking',55
'fee',55
'pabalik',55
'bagyong',55
'bgo',55
'sss',54
'narin',54
'schoolar',54
'pwdi',54
'alis',54
'pondo',54
'loob',54
'oger',53
'nov',53
'kukuha',53
'philippines',53
'sinabi',53
'puede',53
'mtulungan',53
'mindanao',52
'zamboanga',52
'ngayong',52
'new',52
'kolang',52
'mkakuha',52
'send',52
'papel',52
'uuwe',52
'malalaman',51
'makaavail',51
'week',51
'tita',51
'chat',51
'skin',51
'qng',50
'katulong',50
'bali',50
'verify',50
'umowi',50
'nakakuha',50
'government',50
'napauwi',49
'cagayan',49
'stay',49
'knila',49
'parents',49
'dipa',49
'safe',49
'requirement',48
'distressed',48
'bayaran',48
'nako',48
'tatlo',48
'gamot',48
'nakukuha',48
'una',48
'makita',48
'puso',48
'free',47
'reklamo',47
'kabayan',47
'feb',47
'nahihirapan',47
'2months',47
'paba',47
'everyone',46
'gobyerno',46
'riyad',46
'kababayan',46
'pinsan',46
'power',45
'ginawa',45
'andto',45
'natatanggap',45
'budget',45
'kakauwi',45
'odsp',45
'sakali',45
'iloilo',45
'qualified',44
'nangyari',44
'8yrs',44
'makaka',44
'stress',44
'kabuhayan',44
