Post,Risky?
"CARETAKER BOUND TO TAIWAN FOR FEMALE ONLY !! WITH COMPLETE DOCUMENTS ESP (PASSPORT AND UMID ID) 

AGE MUST BE 24-45 YEARS OLD WITH/WITHOUT EXPERIENCE,FIRST TIMER/EX ABROAD ARE ALL WELCOME !! JUST DM ME FOR INQUIRIES 

💯LEGIT !",1
"Sino po walang pang gastos dito na gustong mag abroad?

Bound to SINGAPORE for Domestic Helper 
Wala po kayo gagastusin sa pag process.( No Cash out )
May free accomodation at foods para sa mga galing sa probinsya.
Must be: Passport holder,
                 No visible tattoo
                 Atleast Highschool graduate
                 Atleast 23 -30 years old sa first timer
                 Ex- Abroad atleast 23-40 depende        sa tagal ng experienced.
Kindly Pm me mga Sis! 😊",1
"NOW HIRING ‼️‼️‼️
 Sa mga nais mag-apply abroad, lalo na sa mga gustong magtrabaho bilang foreman. Ito na po ang pagkakataon niyo. Opportunities are coming!!!
 Ang ARAM ENTERPRISES INC. (POEA-161-LB-092215-R) ay nangangailangan ng WELDING FOREMAN'S (WORKSHOP) bound to Saudi Arabia.
What are you waiting for!!! Apply na!!!

Qualifications:
👉 Male
👉 At least High School Diploma

👉 Principal/Employer: Petrojet Company

PINDUTIN ANG LINK PARA SA DETALYE 👇👇",0
"PTPA Admin, thanks!

We're Hiring Domestic Helper bound to UAE, Kuwait and Qatar!!

PM ME for more information.",1
"URGENT - URGENT!!!
BARTENDER
Immediate Joining (Local hire) with experience
Transferable with NOC
Attractive salary and benefits 
Send your CV Whatsapp  55246833",1
"✅OMAN..FEMALE ONLY 
✅DOMESTIC HELPER ONLY
✅READY PASSPORT 2 YRS VALID NOT 1 YR./ OR NO PASSPORT ACCEPT
✅23 TO 4O YRS OLD FIRST TIMER 
✅40 TO 46 EX ABROAD 
✅ ALLOWANCE PAMBILI NG GAMIT O PANG IWAN NIO S PAMILYA NIO AFTER SIGNING OF CONTRACT 
✅️️TRAINING OWWA PEDOS 
✅FREE PASSPORTING (Basta kumpleto requirements nio..nbi,psa birth certificate, 2 valid ids, marriage certificate pg kasal)
✅REFUNDABLE TRANSPORTATION FROM PROVINCE BSTA MAY RESIBO..
✅️TATAWAGAN MUNA KAU NG AGENCY BAGO MG REPORT
✅️SA MG TGA PROBINSYA MG PRE MEDICAL MUNA KAU JN S LUGAR NIO PG OK PREMED NIO PPADALA NIO S AGENCY KASMA PARA PG MAY EMPLOYER N KAU SKA KAU LLUWAS NG MANILA...refundable pre med bsta may resibo at legit n clinic

REQUIREMENTS..
Name..
Age..
Cp no
Adres..
Status..
Weight..
Height..
No of children..
Religion..
2x2 Picture..
Copy of passport..
Work experience yr at country kng ex abroad..
Education attainment..
Position apply..

DIRECT PM PO S MESSENGER WAG N PO MG HOW JN N PO DETAILS S POST TNX..",1
"PTPA:

PLEASE READ CAREFULLY!!

HIRING FEMALE NURSE BOUND TO QATAR

MUST BE WILLING TO DEPLOY @ **HOSPITAL OR CLINIC (NO CHOOSING)**

*AT LEAST 2 YRS CONTINUOUS EXP.

*WITH PRC LICENSE

*READY PASSPORT

*WITH OR WITHOUT PROMETRIC

SALARY OFFER IS 5000QAR

FREE ACCOMODATION AND TRANSPORTATION

8HRS DUTY WITH OT PAY W/ WEEKLY OFF

if interested please send your updated CV, PRC License and Passport copy to **info.speeddeployment@yahoo.com**",1
"**UNITED PHILIPPINE LINES**

**Sta. Clara St., Intramuros**

**WORK ONBOARD A CRUISE SHIP**

**NOW HIRING FOR CARNIVAL CRUISE LINES**

***LANDBASED EXPERIENCE WILL BE CONSIDERED!!!***

**Technical Positions (MALE AND FEMALE)**

**Galley Service Technician (KITCHEN TECHNICIAN)**

**Hotel Service Technician (HOTEL TECHNICIAN)**

**FACILITIES TECHNICIAN**

**MASON / TILESTTER**

**UPLHOLSTERER**

**WELDER/FITTER**

**LOCKSMITHS**

**Asst. Fitter Mechanic**

**Asst. Reefer**

**Asst. Carpenter**

**Asst. Electrician**

**Asst. Plumber**

**Asst. Mechanic**

**Tailor / seamstress**

**MEPF MECHANICAL REPAIRMAN**

**REFRIGERATION TECHINCIANS**

**REFRIGERATION ENGINEERS**

**REGRIGERATION FITTERS**

**ELECTRICAL ENGINEERS**

**ELECTRO-MECHANICAL REPAIRMAN**

**ELECTRO-MECHANICAL TECHNICIANS**

**ELECTRO MECHANICAL ENGINEERS**

**INCINERATOR OPERATOR**

**WASTEDISPOSAL OPERATOR**

**WASTEHANDLER / GARBAGE MAN**

**Fire Patrol (Fireman/Fire Fighter)**

**Jr. Inventory Controller (ENGINE DEPARTMENT)**

**United Philippine Lines Inc.**

**POEA Lic. No. 197-SB-031204-AOEII**

**POEA Accreditation No. 24788-16**

**No fees in any form and/or purpose will be collected from applicants**

**Beware of illegal recruiters and human traffickers**

**EMAIL RESUMES TO: CCLrecruitment@uplines.net**

**SUBJECT: CCL (POSITION APPLIED)**",0
"NOW HIRING ‼️‼️‼️
 Sa mga nais mag-apply abroad, lalo na sa mga gustong magtrabaho bilang foreman. Ito na po ang pagkakataon niyo. Opportunities are coming!!!
 Ang PHILSTAR INTERNATIONAL SERVICES CORP. (POEA-208- LB-071312-R) ay nangangailangan 50 CEMENT MASON FOREMAN'S bound to Guam.
What are you waiting for!!! Apply na!!!

Qualifications:
👉 Male
👉 At least High School Diploma

👉 Principal/Employer: Core Tech International

PINDUTIN ANG LINK PARA SA DETALYE 👇👇",0
"Urgent hiring!!!
Bound to Qatar 🇶🇦🇶🇦🇶🇦🇶🇦
Nail technician
All around beautician
Hairstyle
Massage Therapist
Family Lady Driver 

Firstimer/Exabroad basta same experienced ang mayroon kayo. Send your updated resume with sample of works/videos. 

No placement fee kapag po kayo selected bilang home based beautician. Free po lahat.

Salary deduction naman po ang placement fee niyo kapag kayo ay selected sa Salon(company) 

Pm nalang po. Cant entertain sa comment box. Salamat",1
"JOB HIRING 📣📣

Bound to SAUDI 

📌Nail technician 
📌 Female barber

No placement fee 
First timer and ex abroad

👉 Passport holder 👈

📌Waiter 
📌Barista

First timer and ex abroad
With experience in Philippines

👉 Passport holder 👈

Pm me if interested
Or message on Whatsapp
+639694430360",1
"URGENT HIRING: Local candidates only

**FILIPINO staff: Waiter/Waitress (Fine Dining Restaurant)**

**Line Cook / Kitchen Helper**

**Kitchen Cleaner**

Only with Transferable Visa / NOC

Send your cv WhatsApp 55246833",1
"Hiring: housemaid only
Country: dubai

This is it sa mga first timer and ex abroad na nag edad  43 below lang po Tayo mga ma'am...sa mga nag edad na ng 43 pa taas sorry po dahil dna pde...pde na ako mag tanggap ng job order ngayon mga maam..

Free processing lang po Tayo...
Make it sure Ang mag apply is already have passport lang po ..ayaw ko mag interntain ng Wala pang passport...marami akong kausap na applicants...kaya kailangan marunong po umintindi sa akin..dahil mag isa lang ako na sagot sa lahat ng inquiry niyo...madami kayo kaysa akin...

Pm na Kong gusto niyo na ma assist ngayon",1
"GUSTO MO MAGTRABAHO ABROAD?? ✈✈
Female only
Sagot na po namin ang gastos basta willing po, willing din c agency na tulungan kau.

MAY PASSPORT 🌍 WALA

 BASTA MAY BIRTHCERTIFICATE 
VALID ID  PWEDE NA MAG APPLY

*FREE PASSPORT
*NO PLACEMENT FEE
*NO SALARY DEDUCTION 
*FREE ACCOMMODATION
*FREE FOOD
REFUND PASSPORT AND TRANSPORTATION 
PLUS ALLOWANCE
*OPEN CELLPHONE
*21K MONTHLY SALARY 
*ALL PROCESSING IS FREE

YOUR SAFETY ABROAD IS OUR CONCERN✈✈ 100%LEGIT
PM ME OR CONTACT 09165012183",1
"Are you ready for Change?

**POLAND WORK OPPORTUNITIES**

Obtain Residency in Poland via working.

Currently, Work Available:
1. Production Workers (In-demand)
1. IT Developer (w/ exp of 2 years)

Requirements:
* Male/Female
* Up to 55 years old
* Exp is not required but an advantage
* No IELTS required

For more information, message us:

*Whatsapp:* +447366627517

or email your resume at

poland.marketing.eu2019@gmail.com",1
"Permission to Post 😊

To all kababayan na gustong mag abroad ng walang masyadong gastos Were Hiring po Japan

1. CONSTRUCTION STAFF (building/establishment/road)
2. FACTORY WORKER (box/plastic/fabric)
3. DRIVER (company/personal)
4. FOOD PROCESSOR (ready meal/instant food)
5. DOMESTIC HELPER (cleaner/private)
6. SECURITY GUARD (school/factory/establishment)

All jobs written above are:

-NO PLACEMENT FEE (requirements must be completed)
-NO PROCESSING FEE (requirements must be completed)
-NO AGE/HEIGHT LIMIT REQUIRED (must be physically fit to work)
-NO EDUCATIONAL REQUIRED ( everyone is welcome)

Minimum salary is 65,000/php. up to 80,000/php. (including overtime)
-3 years contract (renewable)
-free food allowance and accommodation
-free owwa membership and health insurance
-free ticket and monthly medical checkup

Salamat at Pagpalain po tayu",1
"**UNITED PHILIPPINE LINES**

**Sta. Clara St., Intramuros**

**WORK ONBOARD A CRUISE SHIP**

**NOW HIRING FOR CARNIVAL CRUISE LINES**

***LANDBASED EXPERIENCE WILL BE CONSIDERED!!!***

***“HOW TO APPLY”? = SEND RESUMES TO CCLrecruitment@uplines.net***

**Technical Positions (MALE AND FEMALE)**

**Galley Service Technician (KITCHEN TECHNICIAN)**

**Hotel Service Technician (HOTEL TECHNICIAN)**

**FACILITIES TECHNICIAN**

**MASON / TILESTTER**

**UPLHOLSTERER**

**WELDER/FITTER**

**LOCKSMITHS**

**Asst. Fitter Mechanic**

**Asst. Reefer**

**Asst. Carpenter**

**Asst. Electrician**

**Asst. Plumber**

**Asst. Mechanic**

**Tailor / seamstress**

**MEPF MECHANICAL REPAIRMAN**

**REFRIGERATION TECHINCIANS**

**REFRIGERATION ENGINEERS**

**REGRIGERATION FITTERS**

**ELECTRICAL ENGINEERS**

**ELECTRO-MECHANICAL REPAIRMAN**

**ELECTRO-MECHANICAL TECHNICIANS**

**ELECTRO MECHANICAL ENGINEERS**

**INCINERATOR OPERATOR**

**WASTEDISPOSAL OPERATOR**

**WASTEHANDLER / GARBAGE MAN**

**Fire Patrol (Fireman/Fire Fighter)**

**United Philippine Lines Inc.**

**POEA Lic. No. 197-SB-031204-AOEII**

**POEA Accreditation No. 24788-16**

**No fees in any form and/or purpose will be collected from applicants**

**Beware of illegal recruiters and human traffickers**

**EMAIL RESUMES TO: CCLrecruitment@uplines.net**

**SUBJECT: CCL (POSITION APPLIED)**",1
HIRING VIP EMPLOYER SAUDI ARABIA MABAIT EMPLOYER may dagdag sahod passport holder only,1
"ptpa:  🙏🙏🙏 please dont report please 🥺, see my wall po, may legit check po ako salamat

Hiring : DH BOUND TO SINGAPORE
23-40 yrs old, female, can speak english ikw mismo mamimili ng employer mo 😉 you can message me or whatsapp this number para sa lahat ng info +65 8678 0750",1
"Hiring📍📍📍Jake International Manpower Agency Roxas City Branch
Located at Capricho 2 📍📍📍

Domestic Helper Bound to:
Qatar
Oman,
Malaysia,
Dubai,
Saudi,
Kuwait,
Bahrain,

With or Without Passport,
23 to 39 years Old

Free passporting,
Free accomodation,
Free transportation going to Manila,
Free training,

For those who are willing to apply pls call 09382996456 or direct message me📍

Thank you and God bless😇",0
"Hello po admin pa post po. Thank you.
Legit agency please visit us for screening interview 
Hiring 
(Tea boy) Male only Riyadh 
(Cleaner)  Female only Riyadh 
SALESMAN  Kuwait  send cv.
SALESLADY Kuwait  send cv  with picture whole body with White background .
Al Awa'el international Manpower,inc.
Room 1502 Metropolitan tower
1746 A. Mabini Street,Malate,Manila
ASAS COMPANY 
K.S.A 🇸🇦
Urgent Hiring bound to riyadh. 
Salary 1,675sr for TEA BOY, Need interview. 
Salary 150 Kuwait denar for SALESMAN No Need interview send cv via WhatsApp. 
with free Food Allowance free Transfo free Accomodation
No need experience sa Teaboy be yourself 
Experience dag2 points 
Contact no. 09128036600
ASAS COMPANY K'S'A RIYADH!!!
Interview Mondayto Friday. 2pm onwards 
Bring your updated cv/ resum
e/ or biodata. 
Good luck and God blessed",1
"URGENT HIRING!!!
- Bound to K. S. A.-
CAR DETAILER
* 22-29 yrs. old
* male, with pleasing personality, medium body built
* ready passport
* pm me your resume and whole body picture",1
"Baka my gusto mag abroad as dh in Malaysia,, passport holder only and refunded after fit to work 
Kuwait Qatar with or w/o passport
pm nio lang ako 🥰 BABAE LANG PO!!!",1
"Open n po Ang SAUDI DH po,sa Nov.7 n po Ang open, Interested Aplicant Free Pasport n po Tau,  tumatanggap n po kmi ng pasporting, renew passport, lost pasport, bsta po kumpleto n po ung requirements nyo po, 
First timer 24 to 43 yrs 
Ex abrod pde hnggang 48 yrs old po
Pde n po kaung mag aply ung mga intresado lng po, plz pm nyo lng po aq or call
# 09066617030
 Ang agency po ntin sa pedro gil lng po,",1
"URGENT HIRED 👈
DH👈 HAVE SLOTS
UAE👈 JORDAN 👈
BAHRAIN 👈
LEGIT AGENCY👉 BMWIMS INC. PM ME",1
"Sa mga gusto mag apply ng Japan and hindi alam yung requirements, qualifications, and saan pwede makapag apply na agencies. PM me.",1
"WORK ABROAD.!!!🪐🌈✈️✈️🛫
     I still NEED 30 DH
       3 MGKAKASAMA SA IISANG BAHAY.
          VIP EMPLOYER 
READY PASSPORT
         FOR THE GIRLS ONLY
       WITH 10k ASSISTANCE 
        FREE FREE FREE
                MEDICAL 
     FOR YOUR FAMILY 
          LOAN 40 TO 50K
       WHAT ARE YOU WAITING FOR 
        APPLY NOW!!!!...
 pm",1
"URGENT HIRING
Domistec helper bound to
Kuwait...Qatar...Malaysia...Jordan and Dubai for VIP EMPLOYER.Pm me if ur ready passport 23 to 42 of age ONLY. with cash asst",1
"Permission to post Admin.
We are hiring bound to BRUNEI with passport holder
25 to 45 ang edad
DH - para sa babae lang po
Free medical at processing
FYI- wala po tyong nauuso ngaun n cash assistant
Ang tanging assurance lng po is legit and agency at action agad pag nasa employer k n.
Please PM po to those interested.",1
"Hello guys!!
to all those interested in applying who do not yet have the requirements then you are interested to apply, just pm me and let's talk no matter wherever you are,if you are interested i will help you.
Our agency here in Saudi🇸🇦
We need direct hired cleaners.
No salary deduction ,free food and accomodation😊",1
"Naghahanap ng:
🌸 Housemaid/Babaeng Driver
🌸 First timer man o ex-abroad
🌸 20k php isang buwang sahod
🌸 Dalawang taong kontrata
🌸 walang salary deduction
Mga edad na kailangan:
🌺 Qatar (24-39)
🌺 Kuwait (24-43)
🌺 Oman (24-45)
Mga kinakailangan:
🌹 Passaporte
🌹 Dalawang valid na i.d
🌹 PSA
🌹 NBI
🌹 Pagibig#
🌹 VAXCERT ( Fully vaccinated at dapat updated ito.)
Libreng:
⚘Tirahan(hbng nglalakad ng mga papel.)
⚘ Pagkain
⚘ Medical
⚘ Pamasahe
⚘ semiar & training.
🦋 sa mga interesado diyan, malaya po kayong mag-iwan ng mensahe o katanungan sa aking fb accnt. 
MARAMING MARAMING SALAMAT PO.",1
PTPA-NEED DH TO QATAR AND KUWAIT READY PASSPORT PM SA INTERESTED,1
"HIRING ❗❗❗
DH BOUND TO MALAYSIA ❗
SALON BOUND TO BAHRAIN AND UAE ❗(SKILLED)
WILLING PO KAMI NA TULUNGAN KAYO ❤️ LEGIT PO ITO ❤️❤️
FEMALE ONLY ❗❗
PASSPORT HOLDER ❗
PM ME IF INTERESTED PO ❗❤️❤️",1
"Hello po 💖
Ask ko Lang po Kung sino po SA Inyo ang Marunong po sa nail arts and may experience po sa salon ?? ❗❗ URGENT HIRING ❗
SALON BOUND TO BAHRAIN ❗❗❗
FEMALE ONLY ❗
PASSPORT HOLDER ❗
READY PO SANANG MAGREPORT SA FRIDAY ❗❗
PM IF INTERESTED PO 🥰",1
"PTPA!! Thank you po..
HIRING!! HIRING!!
We are currently looking for..
WAITER
WAITRESS
COMMIS 1
DEMI CHEF de PARTIE
CHEF de PARTIE
Destination: Kingdom of Saudi Arabia (Khobar)
Company Name: RAJA ARABIA
Qualification: Ex- Gulf Cooperation Council (GCC)
Age: 23-37 years old
Must have Valid Passport (At least 1yr)
If you are interested just Pm me directly..
for more info. Kindly send your Updated resume and Passport copy to my email. Thank you po!
Agency: RRJM International Manpower Services, Inc.
Email: jforniloza@rrjm-manpower.com
Mobile No.: +639366650338
WhatsApp No.: 09366650338
""To GOD Be The Glory""",0
"CLEANERS/HOUSEKEEPER JOBS IN CANADA 🇨🇦 2022 
.Hotel Cleaner
.Storekeeper
.Cleaner
.Housekeeper
.Dishwasher
Age 20-55 may apply
No need to pay anyone 
Without Experience 
HIGH SALARY PACKAGE 
APPLY HERE:-👇👇👇",1
"We are Hiring!!! 📢 Domestic Helper bound to Singapore 🇸🇬
Must have ready Passport
Atleast High School Graduate
For interested applicants pls PM me. Good luck 😍",1
"HIRING ABROAD✈️
FREE ALL PROCESS WITH 5k CASH ASST.
+ REFUNDABLE OF TRANSPO. 
DH Malaysia
DH QATAR
FAST DEPLOYMENT,VIP EMPLOYERS ARE WAITING❣️WORK WITH ANOTHER HELPER ❣️
PM ME NOW.
Age limit: 24-42yrs old
FOR READY PASSPORT ONLY!
100%Legit Agency!",1
"📣Urgently Hiring 10 Female Nail Technician 23 to 35yrs Old 💸1800sar Salary Ready Visa Fast Deployment Under POEA, PM❗
Friday EMPLOYERS INTERVIEW",1
"Hiring domestic helper bound to Kuwait first timer 24/38 years old ex abroad 30/48 years old 
Bound to Malaysia first timer 24/39 years old ex abroad 40/43 years old interested applicants pm me tnx…",1
"HIRING ALL DOMESTIC HELPER 
FOR GULF COUNTRY 
AGE 23 UP TO 45 
CONTRACT 2 YRS 
400 DOLLAR SALARY 
SAUDI./QUATAR/.KUWAIT./BAHRAIN.
 MUST ACTIVE GOOD MORAL 
NO PLACEMENT FEE
NEED ONLY PASSPORT AND NBI 
JUST MESSAGED ME
OR CALL AND TEXT
09303297551",1
"Cno gst mag apply Qatar or Kuwait mbilis lng sya yUng accommodation is condo di mhirap pm more ditials sa
#DH",1
"URGENT HIRING ❗❗
DH BOUND TO MALAYSIA ❗❗
FEMALE ONLY ❗❗
PASSPORT HOLDER ❗❗
FIRST TIMER AND EX ABROAD ACCEPTED PO ❗
23-24K ANG SAHOD PO ❗
WILLING TO HELP PO 💗 MAY GC PO AKO PARA MONITOR PO LAHAT 🥰
PM ME IF INTERESTED 😊",1
"URGENT HIRING!!
DOMESTIC HELPER !
COUPLE !
WE ARE LOOKING FOR DOMESTIC HELPER & COUPLE BOUND TO KINGDOM OF SAUDI ARABIA. (JEDDAH, DAMMAM, RIYADH) QATAR & KUWAIT.
NO PLACEMENT FEE
NO SALARY DEDUCTION
FREE MEDICAL
FREE FOOD
FREE ACCOMMODATION 
FREE TESDA, OWWA, PDOS TRAININGS.
24 TO 43 Years Old.
WITH PASSPORT 
WITH 5K CASH FINANCIAL ASSISTANCE 
REFUND PASSPORT 
FOR INQUIRIES, PLEASE CONTACT: 09466065493
OR KINDLY PM FOR MORE INFO.
BEWARE OF ILLEGAL RECRUITERS!!",1
"For mission to post po Sir & ma'am 
I NEED 3DH BOUND TO
(KUWAIT.)  (QATAR)
DALAWANG  TAGA LINIS NG BAHAY
ISANG TAGA BANTAY NG BATA.WITH TO 2 TIMES A MONTH DAY OFF, 
22K STARTING SALARY...
WITH 10K CASH ALLOWANCE.. 
AT PWEDE DIN KAYO MAG LOAN 50 TO 60K 
KAYA PM NA SA MGA INTERESADO...
☺️☺️",1
"PTPA ADMIN:
PARA LAMANG PO SA WILLING MAGAPPLY AS DOMESTIC HELPER. FEMALE ONLY!!!!🙋
MICHAEL ANGELO MANPOWER EXPONENT INC.
Is now hiring for DOMESTIC HELPER in ....
*MALAYSIA 
*QATAR
*KUWAIT
*JORDAN
No placement fee and no salary deduction.
We offer:
Free passport assistance.
Free medical.
Free training.
Free accomodation and food.
Open for:
First timer and ex abroad.
23-45 yrs.old.
Monthly salary : 400 usd 
2 years contract.
For hongkong and cyprus ....
Pm for details.
Poea license no: 133-LB-072915-R",1
"GUSTO MO BANG MAGTRABAHO ABROAD? ✈️APPLY NA SA HONOR DEPLOYMENT CORPORATION👌
Pwede niyong icheck sa POEA para makasigurado kayo 😊💯
POEA LICENSED NUMBER 121-LB-071119-R
WE ARE HIRING FEMALE APPLICANTS BOUND TO QATAR, MALAYSIA,SAUDI & KUWAIT
DOMESTIC HELPER 👩🏻
WILLING TO WORK ABROAD 💯✈️
WALANG BABAYARAN ✔️💯
WALANG PASSPORT? Don’t worry kami ang bahala sayo😁
2 YEARS CONTRACT! 
FREE ACCOMODATION 🏠 & FOOD , PAMASAHE
400$ or 22-23K PESOS SALARY! ?? 💰
#WITH COMPLETE REQUIREMENTS,.like : ,P.S.A BIRTH CERT ,AND VALID ID.. VOTERS ID OR UMID
DON LNG SA MGA INTERESADO AT DESIDIDO HUWAG LNG UNG 
         PAASA...
PM ME IF INTERESTED",1
"SINGAPORE IS NOW HIRING !!!
JOIN US !!
Training + Internship in SINGAPORE 🇸🇬 for FOREIGNERS with HIGH SALARY
NO AGENT FEE !!!!!
For more details: 
Whatswapp # +60 11-6415 2498",1
"Urgent hiring Bound to
Taiwan
Singapore
Hong Kong",1
"Urgent hiring Bound to Taiwan
Factory worker",1
"HIRING ABROAD!
POEA ACCREDITATION NO.10208458
COUNTRY OF DEPLOYMENT: UAE, QATAR, BAHRAIN, KUWAIT, OMAN & SAUDI (Employer will be the one to decide which country you will be assign)
NEEDED THE FOLLOWING CATEGORIES:
SALESLADY/CASHIER
Female, 21 to 27 yrs.old,
with at least 1 yr experience as saleslady/cashier in Big Malls in Manila or Abroad.
College Graduate is an advantage, with PLEASING PERSONALITY.
SALESMAN/CASHIER
21 to 32 yrs. old, candidates with 1 yr. experience in Hypermarket
(Deli, Electronics/Gadgets,Footwear, Fruits & Veg. Home Appliances Department)
College Graduate is an advantage, with PLEASING PERSONALITY.
BAKER
21 to 40 yrs. old, candidate with 2 yrs. local or international work experience, knowledgeable in principles,
procedures and technique in baking,with competency certificate; Diploma in Baking is an advantage.
CAKE MAKER/DECORATOR/CONFECTIONER
21 to 40 yrs. old (Male/Female) Candidate with 2 yrs.local or international work experience.
FILIPINO & CONTINENTAL COOK
Male, 25 to 40 yrs. old, candidates with knowledge, procedures and techniques in commercial kitchen,
Competence Certificate in Culinary Skills Management or Diploma in Culinary is an advantage.
SALAD MAKER / SANDWICH MAKER / PIZZA MAKER
Male/Female,21 to 40 yrs. old, with 2yrs work experience,preferably with experience
in leading fast food chain like Pizza Hut/ Subway/ Sbarro etc.
FILIPINO SWEET MAKER
Male/Female,21 to 40 yrs. old, with 2yrs.work experience/Maker of Filipino sweets and delicacies.
BUTCHER
Male/Female,21 to 35 yrs.old, Candidates familiar in diff. meat cuts, slices & techniques.
Experience in Monterey, Purefoods,San Miguel and other well known meat companies is an advantage.
FISH MONGER
Male/Female,21 to 40 yrs. old, with experience as Fish Monger in a Supermarket or local wet markets.
DELI SALES
Male, 21 to 32 yrs.old, with 2 yrs. work experience in Hypermarket.
FRUITS & VEGETABLES SALESMAN
Male, 21 to 32 yrs. old, with 2 yrs. work experience in Hypermarket.
SUSHI MAKER
Male, 21 to 40 yrs. old with 2 to 5 years experience in well known Japanese Restaurant.
EXECUTIVE CHEF
Male, 30 to 40 yrs. old, with 2 to 5 years work experience as a Chef (Local or International)
Degree or Vocational Certificate in Culinary Skills or related field.
GRAPHIC ARTIST/DESIGNER
Male, 25 to 35 yrs.old with 2 years work experience in related field.
SECURITY STAFF
Male/Female, 25 to 35 yrs.old with 2 years work experience in related field.
-you should report first to our office to evaluate your resume and to line up your application.
•SEND YOUR RESUME TO: ritemerit@gmail.com for further evaluation and REPORT to our office at Unit 404, 4th Floor, Empire Centre Bldg., Taft Rotonda, Pasay City to submit the ff.
REQUIREMENTS: • PEOS Certificate • 2 pcs. scanned passport copy (colored) • 3 pcs. 2x2 picture white background • 1 set of resume with job description • 1 photocopy of certificate of employment • 1 photocopy of NBI (if available) • 1 photocopy of diploma & transcript of records (if available)
*BRING EXTRA 1 SET OF ALL REQUIREMENTS ABOVE ON THE INTERVIEW.
""ONLY QUALIFIED APPLICANTS WILL BE LINE UP ON THE INTERVIEW""
.
•Agency: RITE MERIT INTERNATIONAL MANPOWER CORPORATION
OFFICE ADDRESS: Unit 404, 4th Floor, Empire Centre Bldg., Taft Rotonda, Pasay City (Landmark: SAVEMORE)
POEA LICENSE NO. POEA-219-LB-120415-R
EMAIL ADDRESS: ritemerit@gmail.com
TEL.NOs. 822 9329 / 801 8740
WEBSITE: www.ritemerit.com
FB PAGE: Rite Merit International Manpower Corporation LULU Hypermarket Website: www.luluhypermarket.com",0
